"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"M2",0,0,354.409222774,14.7086817602256,11.4328441561119,1.41335250364852,-708.818445548001,29.4173635204513
"M3",-0.020198633254787,0.529756270848655,354.389024140746,14.7092065736245,11.0378228494063,1.33720615892172,-708.778048281492,29.418413147249
"M6",-0.532881616443781,1.48807617019033,353.876341157557,14.49112718168,10.085198240366,1.23286601783728,-707.752682315113,28.9822543633601
"M1",-0.885864214762034,0.348417896192137,353.523358559238,14.62935451293,12.3262602010553,1.51056611188954,-707.046717118477,29.25870902586
"M4",-1.40262892599771,1.05525656247102,353.006593848002,14.6638091363454,11.5036609268861,1.49518792623399,-706.013187696005,29.3276182726908
"M7",-7.88284943026312,4.93256315263787,346.526373343737,13.6048652383381,8.46476411831313,0.948643762135494,-693.052746687475,27.2097304766762
"M5",-9.1191802212599,4.84570650779647,345.290042552741,13.5697407944951,9.75309972342456,1.13225110663079,-690.580085105481,27.1394815889903
