"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"M4",0,0,-86.9470574235373,18.4796336123392,6.83202829121814,2.54765469005862,173.894114847075,36.9592672246785
"M6",-0.810013235593143,3.02519825669636,-87.7570706591304,18.5341423264181,5.82600555687132,1.80647116186461,175.514141318261,37.0682846528362
"M3",-1.01497490801289,3.06978725206916,-87.9620323315502,18.5755990918775,6.08952587675256,1.81287098074847,175.9240646631,37.151198183755
"M1",-1.13005508640448,0.433174422947209,-88.0771125099418,18.7274525497084,7.48931203762601,2.73461056499018,176.154225019884,37.4549050994168
