"","b_Intercept","b_z","b_NK","b_z2","b_Density","b_canopy","b_z.NK","sd_stream__Intercept","sigma","r_stream.1.Intercept.","r_stream.2.Intercept.","r_stream.3.Intercept.","r_stream.4.Intercept.","lprior","lp__"
"2094",0.0455194972500313,-0.0677232664747377,0.0410820024438932,0.0013733286667278,0.00829835052623653,-0.0219970279546482,-0.00234670649077779,0.0434472245251216,0.0690717010802069,0.0134442960375137,0.0702946319565101,-0.0230239383365013,-0.0446676692704153,-4.36596302038039,345.08232719297
"2095",0.0359431826647718,-0.06539493056716,-0.0360934994974947,0.00131697300561626,-0.0328572085459853,-0.0353703850701588,-0.00378181511788061,0.119263985839942,0.0730098806961947,0.0422736095271869,0.114684410749516,0.0211728083360324,0.00139274299713251,-4.36742019088492,345.171781653845
"2096",0.0416336171016992,-0.0792076184693119,-0.0284908164851264,0.00171062471489486,-0.0382483787248792,-0.0308892660234535,-0.0052892722508239,0.0561126707947239,0.0642424135329677,0.0181063030614745,0.0981523096635182,-0.00884643518957605,-0.0314017369291573,-4.36603176909522,345.016192185361
"2097",0.0648734178986183,-0.0624131664279593,-0.0297470293495074,0.00119345507184386,-0.0379968523447547,-0.0316227147782546,-0.00201620393633059,0.0349038764705368,0.0705729424580824,0.00753587316409668,0.0941222170592843,-0.0199856028588707,-0.0330333687552326,-4.36590655361271,342.398078724024
"2098",0.0105886075267792,-0.0892877353805409,0.0303893333912271,0.00199871203189842,0.00363836253393195,-0.0256563011334605,-0.0045744137333398,0.0605875882918667,0.0709394736241395,0.0298079061636765,0.0960900634389494,0.00587097243504079,-0.0374396923486851,-4.3662123558222,343.723187882303
"2099",0.0895395416143713,-0.0710913540389706,-0.0154231053316767,0.00149942861691271,-0.0276788920134115,-0.0265002486704711,-0.00648496276089528,0.0899172619194581,0.0655113369820635,-0.0299282256082268,0.0469951307675944,-0.0589307730300472,-0.0795921203800436,-4.36671850565022,347.908658693254
"2100",0.104764063885946,-0.0651666080785902,-0.0155170582282782,0.00124283413769016,-0.0294348595568096,-0.0330460971198341,0.000705256922078336,0.108546903298757,0.0668182352872578,-0.0371622008182471,0.0503325356957548,-0.069962565580543,-0.107585769224684,-4.36722027325485,347.860418903228
"2101",0.0635772790328527,-0.0704875933786484,0.00551112373148207,0.00141665616384639,-0.0123887543799993,-0.0284392146471078,-0.00395235037828897,0.146186652339214,0.0698724289188753,-0.00850096838724546,0.0784219598031473,-0.0394508619344458,-0.0755906040772302,-4.3680765988785,349.674711846755
"2102",0.0653638738375557,-0.0778350441417159,-0.00879449987466256,0.0016149920594799,-0.023309355943341,-0.0235552771941224,-0.00177814970242122,0.0565922504982129,0.0727230412928769,-0.0040395022793536,0.062390272844992,-0.0404965109614531,-0.0719339305329724,-4.36618166415479,347.008830555852
"2103",0.0542025811799042,-0.0680158494655225,0.0207094987254791,0.00134264496817439,-0.00466768528150184,-0.0349197325492486,0.000517301579067218,0.0534756568798017,0.0644222343242279,0.00676034237015564,0.0539290191709614,-0.00924868288284372,-0.0594899945169284,-4.3660020112011,344.811758635559
"2104",0.0564518117125442,-0.0657497209969588,0.0163004340684416,0.00124820940893597,-0.00437509939960795,-0.0330000247699079,0.00184169284231483,0.0635461143868836,0.0646095009368697,0.00541125868933958,0.061454120616506,-0.00319935912710034,-0.086331151039843,-4.36612732033794,339.946245716408
"2105",0.0364998266756333,-0.0649454873264548,0.0174198825061598,0.00126453085342969,-0.0101478982380298,-0.034358763477553,-0.00284559348527699,0.0658068319786116,0.0645616563338183,0.0111946288306723,0.106593409167947,-0.016890753771488,-0.0203504914690289,-4.36615622390846,340.44321401376
"2106",0.040858598846619,-0.0672187780127219,0.0098310045513151,0.00133150403858667,-0.00729805272119165,-0.0341624880544912,-0.0033391247194304,0.0655432313760714,0.065204076215669,0.0149356861717285,0.0927410796804989,-0.00720352634122254,-0.034574819329203,-4.3661604817783,348.575379041146
"2107",0.0426745073171563,-0.0710979295043785,-0.0236454761830031,0.001395488778452,-0.0321484103024718,-0.0398165458369418,-0.00110775073860462,0.0485718481830541,0.0632553415396554,0.0196154058768216,0.106352316693227,0.00038275643768493,-0.0290180256340391,-4.36594229637836,344.433716180947
"2108",0.0464353987766729,-0.0715168455080461,-0.0255632023028811,0.00138471383357438,-0.0317301949621923,-0.0400605668713414,-0.000412916732545276,0.049314400287743,0.0631088590692226,0.0184063255321094,0.113436439007017,-0.000332558326042905,-0.028308528004212,-4.36594092407137,341.745788178137
"2109",0.0209848101851578,-0.0742238079472584,0.0247902919450834,0.00147539655150613,-0.000939258438430053,-0.016920293134578,-0.000734427372868744,0.0340949183431485,0.072685278397818,0.0298754436304924,0.0894953504489871,0.00630472477750878,0.0101394722691263,-4.36596591499631,338.747055124481
"2110",0.0232041443473868,-0.0776114502108233,0.0154258959691862,0.00157821827523534,0.00566487276583251,-0.0216310083053448,-0.000659862771864235,0.0483827422170604,0.0735558753863165,0.0391009575517253,0.103470441847892,-0.00134008462972883,-0.0291707996887345,-4.366120756363,342.486430991064
"2111",0.0780274396159244,-0.0704339213156979,0.0436925429431744,0.00142422434567545,0.0172558518866573,-0.0383084504513568,-0.00163555053999396,0.056762886190245,0.0696328783629861,-0.0327997567106157,0.0196427455547709,-0.0460065360542314,-0.0907247214698456,-4.36628545363817,344.047422394957
"2112",0.00249325252337492,-0.0788410344132909,-0.0191112212513999,0.00158816895088622,-0.0346710987497036,-0.0164244985012913,-0.000498051271615735,0.0645982620118239,0.0670114333902847,0.0522158531594489,0.141756635596328,0.0303809499606425,0.00286559108154884,-4.36640166509575,341.793782097697
"2113",-0.0222683796623453,-0.0796639963291645,-0.00695780778791259,0.00172875175645046,-0.0282077865119667,-0.0360730793344754,-0.00432818291046533,0.0789827413223902,0.0662449085265088,0.0902596707694202,0.13858951473361,0.0513347787258021,-0.00247640192069028,-4.36684943459689,342.752859041576
"2114",-0.0536070746924234,-0.0713489842428471,-0.000261440269632328,0.00141364832429381,-0.00774637268600636,-0.032940101949571,-0.00224973380788966,0.0823463398369663,0.0685087157117515,0.130632140750427,0.169736581646834,0.0902652241392374,0.0465535667429322,-4.36763110135265,343.127105242759
