"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"S3",0,0,-264.098487520279,8.00980698924531,9.10845690992551,0.512331841228882,528.196975040558,16.0196139784906
"S2",-0.941276145041607,0.463926590007411,-265.039763665321,8.0294762007251,10.0422735272267,0.583382474351911,530.079527330642,16.0589524014502
"S1",-1.79406689365421,0.99965891155109,-265.892554413933,8.15858491014223,11.1900531606035,0.691776149214022,531.785108827867,16.3171698202845
"G2",0,0,354.359340505938,14.6618292165588,11.4972556864233,1.44457900438927,-708.718681011877,29.3236584331176
"G1",-1.07646068202371,0.295820715844861,353.282879823915,14.6899475897859,12.4850559045875,1.58869627529846,-706.565759647829,29.3798951795717
"G3",-26.8932354038225,6.17387286839649,327.466105102116,14.9211929062415,11.5513400681341,1.64772477972253,-654.932210204231,29.842385812483
"R2",0,0,-406.638987427475,24.9898737333153,14.2520964538185,4.19010740032603,813.277974854949,49.9797474666306
"R1",-0.891949272159902,1.30868705909309,-407.530936699635,24.9536323869961,15.2351814805885,4.07829455025103,815.06187339927,49.9072647739922
"R3",-9.52987166484498,4.08311411667543,-416.16885909232,24.0152953506156,10.9330011063039,2.46955683748235,832.33771818464,48.0305907012313
