"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"M3",0,0,-262.128317895139,7.84420029482196,5.85118232372133,0.276805575017709,524.256635790279,15.6884005896439
"M6",-0.390317082645907,1.57030602145485,-262.518634977786,7.6172951092664,4.72897350295387,0.22247296931321,525.037269955571,15.2345902185328
"M1",-0.659926061362301,1.3221756557932,-262.788243956503,7.97484597083725,7.0481882099022,0.452262270501175,525.576487913005,15.9496919416745
"M4",-1.53845880119331,2.12413690950833,-263.666776696333,7.69712585691924,5.99708714187508,0.425454084277388,527.333553392665,15.3942517138385
