"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"Intercept",3.136,0.398,2.37,3.932,1.001,3121.207,3116.253
"PoolKR",0.384,0.947,-1.497,2.228,1.001,2286.233,2363.358
"Density",0.275,0.604,-0.889,1.522,1.001,2210.423,2116.121
"Canopy",0.307,0.429,-0.578,1.118,1.001,2181.307,2050.009
"Intercept1",2.556,0.825,1.05,4.322,1.002,2134.558,1919.396
"PoolGR",-0.117,0.483,-1.059,0.838,1.002,3156.306,2683.928
"Density1",0.56,1.298,-2.225,2.937,1.001,2000.548,1746.071
"Canopy1",-0.371,0.764,-1.923,1.131,1.001,1959.894,1874.032
