"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"M6",0,0,-416.238825031467,24.0402177603352,10.4839957729833,2.45010998793683,832.477650062935,48.0804355206704
"M2",-0.133083363636176,1.29392859068848,-416.371908395104,24.0418357301091,11.0540182477317,2.50828332409853,832.743816790207,48.0836714602182
"M3",-0.825021354041905,0.363522309467572,-417.063846385509,24.0994093020893,11.3025667269986,2.68098486540264,834.127692771018,48.1988186041786
"M4",-0.902480934971847,0.855264332798477,-417.141305966439,24.2505906453213,11.7541668706738,2.82597559295214,834.282611932878,48.5011812906426
"M1",-1.22949628398265,1.16746727668862,-417.46832131545,24.2218350751821,12.223606410827,2.84679853003843,834.936642630899,48.4436701503642
"M7",-2.73692279964815,3.7060261997923,-418.975747831115,23.9494235305424,8.53557945726315,2.2722421104003,837.951495662231,47.8988470610848
"M5",-3.46034916870389,3.62594849052263,-419.699174200171,24.1324079188813,9.82686025584128,2.72863539227015,839.398348400342,48.2648158377626
