"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"M6",0,0,-167.689759183728,5.16765260879894,7.82172071536637,0.515194504603163,335.379518367456,10.3353052175979
"M4",-0.859439722354713,0.194060024131757,-168.549198906083,5.29672203109572,8.70514001570158,0.556110148441842,337.098397812165,10.5934440621914
"M3",-0.895577305643007,0.520489411666643,-168.585336489371,5.31538719342693,8.75479897463966,0.545685562811621,337.170672978742,10.6307743868539
"M1",-2.18843716584056,0.481962739862562,-169.878196349569,5.4017942315389,10.0447072094333,0.612197115190418,339.756392699137,10.8035884630778
