"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"M2",0,0,198.143991061529,30.3995982311717,18.5954617409298,9.43709429258787,-396.287982123059,60.7991964623435
"M5",-0.067012229711727,1.28517471003724,198.076978831818,31.2872604553377,18.6411450469852,10.0922651418637,-396.153957663635,62.5745209106755
"M7",-1.1166288345063,2.7576037542204,197.027362227023,32.466576970663,18.4827697324698,10.4552036161269,-394.054724454046,64.933153941326
"M1",-1.42089125940757,0.820583342333429,196.723099802122,30.4491526888694,20.0781359130889,10.4766528352336,-393.446199604244,60.8983053777388
"M4",-2.03296975237355,1.94685481294412,196.111021309156,31.732928711331,20.6912171393602,11.3671179296115,-392.222042618312,63.465857422662
"M6",-2.04996166454153,3.00232970765982,196.094029396988,32.6732817443328,18.8334776993311,10.556540952504,-392.188058793976,65.3465634886657
"M3",-2.16940157233314,1.85485314253343,195.974589489196,31.6406056373907,20.0971551212298,10.8797044692292,-391.949178978392,63.2812112747813
