"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"M3",0,0,-263.040919131887,7.85867276106429,7.67961560217457,0.351460656531786,526.081838263773,15.7173455221286
"M1",-1.05756838839238,1.29398091213166,-264.098487520279,8.00980698924531,9.10845690992551,0.512331841228882,528.196975040558,16.0196139784906
"M6",-1.28211171662733,1.8350567846498,-264.323030848514,7.65426736441372,6.85407794569782,0.311806561428195,528.646061697028,15.3085347288274
"M4",-2.0549584944012,2.17455897338008,-265.095877626288,7.75015685714656,7.71654479069243,0.445385731462791,530.191755252576,15.5003137142931
