"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"M1",0,0,-406.638987427475,24.9898737333153,14.2520964538185,4.19010740032603,813.277974854949,49.9797474666306
"M3",-1.11513057213121,3.41565662271544,-407.754117999606,24.8270388928817,12.4851660990209,3.57659718101261,815.508235999211,49.6540777857634
"M6",-5.9079063394351,5.01918385468672,-412.54689376691,25.185241882228,11.2996686145802,3.79149048827902,825.09378753382,50.3704837644561
"M4",-6.79404312327344,4.58964128545487,-413.433030550748,25.3596472621541,12.8425513857668,4.27136147894566,826.866061101496,50.7192945243081
